run_name,kernel_type,seed,n_qubits,n_layers,entanglement,n_train,n_test,svm_c,rbf_gamma,train_kernel,initial_theta,maxiter,learning_rate,perturbation,n_trainable_params,train_time_sec,kernel_eval_time_sec,test_accuracy,optimal_value,optimizer_evals
kernel=quantum_chebyshev_layers=1_traink=false_qubits=2_C=0p01_seed=46,quantum_chebyshev,46,2,1,linear,200,100,0.01,,False,random,20,0.05,0.05,3,0.0,65.588956571999,0.78,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=4_C=10p0_seed=45,quantum_chebyshev,45,4,1,linear,200,100,10.0,,False,random,20,0.05,0.05,7,0.0,152.43650039399654,0.99,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=2_C=100p0_seed=45,quantum_chebyshev,45,2,2,linear,200,100,100.0,,False,random,20,0.05,0.05,6,0.0,104.60013143700053,0.88,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=4_C=0p1_seed=45,quantum_chebyshev,45,4,2,linear,200,100,0.1,,False,random,20,0.05,0.05,14,0.0,226.38659372000257,0.98,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=2_C=0p1_seed=46,quantum_chebyshev,46,2,1,linear,200,100,0.1,,False,random,20,0.05,0.05,3,0.0,64.63881932300137,0.78,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=6_C=100p0_seed=44,quantum_chebyshev,44,6,1,linear,200,100,100.0,,False,random,20,0.05,0.05,11,0.0,333.171426754001,1.0,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=2_C=0p01_seed=46,quantum_chebyshev,46,2,2,linear,200,100,0.01,,False,random,20,0.05,0.05,6,0.0,104.00373459800176,0.94,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=6_C=0p01_seed=45,quantum_chebyshev,45,6,1,linear,200,100,0.01,,False,random,20,0.05,0.05,11,0.0,324.2697824909992,0.96,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=4_C=100p0_seed=45,quantum_chebyshev,45,4,1,linear,200,100,100.0,,False,random,20,0.05,0.05,7,0.0,147.83971746999305,0.99,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=2_C=1p0_seed=46,quantum_chebyshev,46,2,1,linear,200,100,1.0,,False,random,20,0.05,0.05,3,0.0,65.17105280199758,0.78,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=6_C=0p1_seed=44,quantum_chebyshev,44,6,2,linear,200,100,0.1,,False,random,20,0.05,0.05,22,0.0,481.92941526300274,0.97,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=8_C=10p0_seed=43,quantum_chebyshev,43,8,1,linear,200,100,10.0,,False,random,20,0.05,0.05,15,0.0,620.296407201,0.94,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=4_C=0p01_seed=46,quantum_chebyshev,46,4,1,linear,200,100,0.01,,False,random,20,0.05,0.05,7,0.0,146.95329124000273,0.78,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=8_C=0p01_seed=43,quantum_chebyshev,43,8,1,linear,200,100,0.01,,False,random,20,0.05,0.05,15,0.0,625.6200583600003,0.95,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=6_C=1p0_seed=44,quantum_chebyshev,44,6,2,linear,200,100,1.0,,False,random,20,0.05,0.05,22,0.0,475.2963098320033,0.99,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=8_C=0p1_seed=43,quantum_chebyshev,43,8,1,linear,200,100,0.1,,False,random,20,0.05,0.05,15,0.0,629.7997171549941,0.94,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=4_C=1p0_seed=45,quantum_chebyshev,45,4,2,linear,200,100,1.0,,False,random,20,0.05,0.05,14,0.0,266.7906860619987,0.98,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=4_C=10p0_seed=45,quantum_chebyshev,45,4,2,linear,200,100,10.0,,False,random,20,0.05,0.05,14,0.0,228.93086250800116,0.98,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=4_C=0p1_seed=46,quantum_chebyshev,46,4,1,linear,200,100,0.1,,False,random,20,0.05,0.05,7,0.0,150.1503951179984,0.78,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=2_C=0p1_seed=46,quantum_chebyshev,46,2,2,linear,200,100,0.1,,False,random,20,0.05,0.05,6,0.0,108.20304347099591,0.98,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=2_C=1p0_seed=46,quantum_chebyshev,46,2,2,linear,200,100,1.0,,False,random,20,0.05,0.05,6,0.0,103.9292150570036,1.0,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=6_C=0p1_seed=45,quantum_chebyshev,45,6,1,linear,200,100,0.1,,False,random,20,0.05,0.05,11,0.0,337.9105608750033,0.97,nan,nan
